User-ID,ISBN,Book-Rating
38781,0373259131,0
128835,0811805905,8
261829,037324486X,0
247747,0531303306,0
74076,0316812404,0
30273,0312072376,0
12110,0743431014,6
189973,0515129283,0
13690,8485224574,6
98391,006000181X,8
2276,0345296052,0
107784,076422185X,6
228764,0758201583,0
36003,0060958022,0
12122,1740590120,7
76352,0425137457,0
227054,0425179532,5
14201,038548951X,8
241214,0440210925,0
265784,0440106079,8
64316,0099422042,0
139913,0786886463,7
36836,0688151981,0
269337,0679310452,6
159390,3502512515,0
29519,9136028347,6
113904,0671666274,0
35859,0808514075,0
141109,0688050336,0
230522,0590995111,0
251844,0192838423,10
127114,0875428916,5
246655,0671556843,0
258874,0747245053,0
176950,0441006515,0
63545,0440242002,6
6532,0449220605,8
69042,0553569783,0
170518,0373059043,0
137589,0892861428,0
236283,0440225299,0
21576,0345382919,0
190925,0312974256,0
86093,0142001740,0
211344,0441445241,0
91266,0380709910,0
40559,0670030724,8
13915,0060589272,0
247905,067972902X,0
274423,0553568019,0
23768,0820321451,0
53628,2070422364,8
152036,0373123930,0
26544,0425165108,0
49144,8425334152,8
14357,0310501016,7
247752,0553564528,10
138602,0553253204,0
55136,0140137327,8
190925,0312979088,0
76352,0380400480,0
191187,0940535971,0
69232,0380818337,0
278418,0373256078,0
126585,0060928336,9
48046,0553579754,8
247447,0671702505,9
39467,8433920393,7
224997,0440214041,8
200226,034543353X,0
51440,0446350109,0
137010,0330274864,9
188796,0684801221,10
166596,0156576813,0
135831,0698119185,7
129358,0373631820,0
180348,0843934026,0
240035,0425140032,0
268330,0425155064,0
212923,0671690582,0
251890,0441102670,0
126296,0770423345,0
217247,5264003645,6
266226,0451202724,0
83467,1581340753,0
159033,0449001016,0
44842,0316969443,0
11676,8807813025,9
160681,0446601977,0
160410,3499233096,0
269566,0440226430,0
1424,0767903862,0
172507,0486256642,8
68249,068486360X,9
250609,0345351525,8
6703,848538864X,0
33974,282541154X,0
52199,055328942X,0
234683,0099502704,0
27425,0679419144,0
62895,1853260622,10
206300,0140620915,0
223607,080410946X,0
8681,0140143491,0
150814,0440236053,0
143253,0671028014,0
246617,0224044338,0
182085,1551669307,0
35144,0743204115,4
213316,0684837889,0
254498,8844204703,0
238864,074324480X,0
227764,0671879723,0
198711,0816711968,0
130654,0440237424,7
258160,0345404114,0
158226,1401201008,7
207349,0515122491,0
193560,0571167373,0
20201,0373097158,0
270906,0688156134,7
95316,0771065086,7
234623,0064470393,0
236340,0425100650,0
73548,0394559592,9
98391,1551666863,8
232131,0345333756,0
202358,0393316491,8
47819,3404142497,0
110934,0446612545,0
138543,0064407683,7
265595,0670863920,0
237001,0743435257,0
238864,0140276300,10
143809,0380789019,9
88122,0345448847,0
25105,0380817691,0
82926,0451144287,0
49109,0425189031,0
28735,0312971230,0
93047,0765341964,0
17950,0380804174,0
253626,0312422164,8
217375,0505524279,0
217375,0312303467,0
135879,0060936231,0
123981,0425104311,7
18401,1551665107,0
12538,0451208641,0
32195,0446608653,0
254971,0425171884,0
143175,0848716868,7
12657,3404241134,6
164096,848300724X,0
105517,0425097722,0
234828,055325698X,7
190708,067182211X,0
200862,0553107054,5
115777,8420430927,7
214841,904140500,0
189115,0451203895,0
127429,0553289586,0
235392,0425098648,8
202564,1853260266,0
137589,039447970X,0
150124,0971880107,0
269397,0140291806,9
98391,0756402182,10
55492,0671039164,0
213350,0140080775,0
35859,0399131868,0
234614,0671458639,0
179978,0749319135,10
11993,0064471098,8
211841,0875421814,0
105979,0060976926,9
49314,0446604801,8
55492,0515101230,0
20871,8804481943,0
72785,0385420161,0
55492,0452281903,0
164926,066410097X,8
276018,3293200540,0
89869,0553485237,0
198711,0385140406,0
179288,070476217,9
236283,0671741187,9
204124,9813068930,8
60337,0525941673,9
126803,0425182010,10
16916,0517593335,0
173415,0312278586,0
7325,0671739670,0
147847,0812550862,0
166123,0886777097,0
252848,1551662841,0
147847,0671867172,0
24641,0930603486,0
235105,0312308019,4
119575,0345422384,6
43246,0312421125,0
11601,0671463195,0
225727,0425127583,8
212986,0671578286,9
172030,0440473098,0
169233,0892967080,0
173835,0385469624,0
53174,0345314255,0
208829,0307215962,0
148806,0151006040,5
102275,0553560441,0
156971,2080680196,0
188010,0399129723,0
231210,0679455116,0
204591,0553569910,7
60244,0373167539,0
194957,0821717030,0
217121,0385484011,0
278852,0449907597,8
125779,0515109746,0
30511,0679448594,0
199491,0553582747,0
113955,0425164179,8
47118,0345312058,0
94923,0312858116,0
86202,0312981260,0
218736,088982066X,10
73394,0312963211,0
239584,1580050883,0
55492,0679745203,0
267418,3499232642,10
31987,0060915153,0
182987,8401014603,0
9502,0451176464,8
236283,0451148029,0
212898,0064405141,0
164675,0140133488,0
129358,0373710941,0
187520,0140290737,0
102647,0061094129,8
183995,0060142677,0
114444,0451170113,8
36836,048628753X,0
173632,3453356209,0
32329,037303346X,0
248008,0151006539,7
55197,0553380834,7
183887,0312977557,0
227705,0671435337,0
172941,9026973691,0
244955,0061000019,0
149908,1585673080,0
156798,0060930535,0
161752,0553575104,0
140510,0743432746,0
207226,8437605679,7
148744,0553292722,0
98391,0399148787,9
43698,0679781552,8
63278,0007117515,0
39646,0743206029,0
118135,9726116309,0
94347,0380973545,0
236038,0725514043,0
265115,0140178406,0
142041,0590418211,0
4591,0446611239,7
62862,0805019669,0
170513,0060987324,8
229707,0425186865,10
16488,0761507930,0
183722,0064432386,10
142524,0521305519,0
97754,038550344,7
264321,0970816308,0
244736,0671510053,0
78783,0446321095,0
149512,0385483732,0
150291,3518376764,0
190925,0821740601,0
242310,1551666839,0
16916,0451527127,0
204864,0393034445,0
182781,0425172546,6
119248,0590629816,0
49661,0765342308,0
12154,0316781266,8
80810,067153615X,8
93426,0312274920,0
